,Precision,Recall,Accuracy,AUROC,F1,Average,,,
XGB,0.15,0.26,0.87,0.78,0.19,0.45,,,
Log Reg,0.16,0.42,0.84,0.79,0.23,0.49,,,
RF,0.17,0.5,0.84,0.83,0.26,0.52,,,
MLP,0.15,0.66,0.78,0.82,0.25,0.53,,,
Ensemble,0.14,0.77,0.73,0.81,0.24,0.54,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,Precision,Recall,Accuracy,AUROC,F1,Average
,,Lung,XGB,0.15,0.26,0.87,0.78,0.19,0.45
,,,Log Reg,0.16,0.42,0.84,0.79,0.23,0.49
,,,RF,0.17,0.5,0.84,0.82,0.26,0.52
,,,MLP,0.15,0.66,0.78,0.82,0.25,0.53
,,,Ensemble,0.14,0.77,0.73,0.81,0.24,0.54
,,Bone,XGB,0.17,0.29,0.92,0.83,0.21,0.48
,,,Log Reg,0.10,0.32,0.87,0.76,0.15,0.44
,,,RF,0.12,0.40,0.87,0.81,0.18,0.48
,,,MLP,0.11,0.57,0.82,0.81,0.19,0.50
,,,Ensemble,0.09,0.68,0.75,0.80,0.17,0.50
